"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"2814","Lovejoy Technology Academy","PO Box 250","Lovejoy","IL","62059-0250",38.656489,-90.165046,"Schools"
"2815","Lovejoy Elementary School","PO Box 250","Lovejoy","IL","62059-0250",38.656489,-90.165046,"Schools"
"2816","SIU Charter Sch of East St Louis","601 James R Thompson Blvd","East Saint Louis","IL","62201-1129",38.620912,-90.162443,"Schools"
"2817","Wyvetter Younge Alternative Center for Education","3939 Caseyville Ave","East Saint Louis","IL","62204-2448",38.631014,-90.11005,"Schools"
"2818","Gordon Bush Elementary","1516 Gross Ave","East Saint Louis","IL","62205-3022",38.633318,-90.129322,"Schools"
"2819","Vivian Adams Early Child Ctr","501 Katherine Dunham Pl","East Saint Louis","IL","62201-1934",38.626867,-90.148563,"Schools"
"2820","Katie Harper-Wright Elem","7710 State St","East Saint Louis","IL","62203-1863",38.59537,-90.072356,"Schools"
"2821","Annette Officer Elementary","558 N 27th St","East Saint Louis","IL","62205-2316",38.613873,-90.125116,"Schools"
"2822","Dunbar Elem School","1835 Tudor Ave","East Saint Louis","IL","62207-2150",38.605451,-90.152716,"Schools"
"2823","James Avant Elementary School","1915 N 55th St","Washington Pk","IL","62204-2112",38.635819,-90.092534,"Schools"
"2824","East St Louis-Lincoln Middle School","12 S 10th St","East Saint Louis","IL","",38.616622,-90.153878,"Schools"
"2825","Mason/Clark Middle Sch","5510 State St","East Saint Louis","IL","62203-1345",38.604448,-90.097489,"Schools"
"2826","East St Louis Senior High School","4901 State St","East Saint Louis","IL","62205-1356",38.60934,-90.102346,"Schools"
"2827","Dupo High School","600 Louisa Ave","Dupo","IL","62239-1469",38.514242,-90.207954,"Schools"
"2828","Dupo Jr High School","600 Louisa Ave","Dupo","IL","62239-1469",38.514242,-90.207954,"Schools"
"2829","Bluffview  Elem School","905 Bluffview Elementary Ln","Dupo","IL","62239-1544",38.515824,-90.204743,"Schools"
"2830","Pathways School","2401 Pathways Xing","Belleville","IL","",38.511405,-89.933064,"Schools"
"2831","Sangamon Safe School Program","2201 Toronto Rd","Springfield","IL","62712-3802",39.718133,-89.622511,"Schools"
"2832","Sangamon County Learning Academy","2201 Toronto Rd Ste C","Springfield","IL","62712-3810",39.718133,-89.622511,"Schools"
"2833","Sangamon County","200 S 9th St Rm 102","Springfield","IL","62701-1629",39.800647,-89.643608,"Schools"
"2834","Riverton High School","PO Box 560","Riverton","IL","62561-0560",39.84422,-89.53954,"Schools"
"2835","Riverton Middle School","PO Box 530","Riverton","IL","62561-0530",39.84422,-89.53954,"Schools"
"2836","Riverton Elem School","PO Box 470","Riverton","IL","62561-0470",39.84422,-89.53954,"Schools"
"2837","St Patrick Grade School","1800 South Grand Ave E","Springfield","IL","62703-2733",39.787125,-89.630971,"Schools"
"2838","Hope School","15 East Hazel Dell Ln","Springfield","IL","62712-4210",39.743245,-89.615568,"Schools"
"2839","Lincoln Magnet School","300 S 11th St","Springfield","IL","62703-1204",39.799473,-89.640853,"Schools"
"2840","Springfield High School","101 S Lewis St","Springfield","IL","62704-1817",39.801517,-89.65983,"Schools"
"2841","Owen Marsh Elem School","1100 Avon Dr","Springfield","IL","62704-2133",39.791005,-89.695351,"Schools"
"2842","Lindsay School","3600 Fielding Dr","Springfield","IL","62711-6288",39.766997,-89.724969,"Schools"
"2843","Sandburg Elem School","2051 Wabash Ave","Springfield","IL","62704-5305",39.764273,-89.693226,"Schools"
"2844","Springfield Ball Charter School","2530 E Ash St","Springfield","IL","62703-5600",39.779691,-89.618773,"Schools"
"2845","Benjamin Franklin Middle School","1200 Outer Park Dr","Springfield","IL","62704-4409",39.774359,-89.671123,"Schools"
"2846","Butler Elem School","1701 S MacArthur Blvd","Springfield","IL","62704-4027",39.782375,-89.668335,"Schools"
"2847","Springfield Southeast High Sch","2350 E Ash St","Springfield","IL","62703-3371",39.779638,-89.62039,"Schools"
"2848","Douglas School","444 W Reynolds St","Springfield","IL","62702-5028",39.806283,-89.661782,"Schools"
"2849","Lawrence Education Center","101 E Laurel St","Springfield","IL","62704-3945",39.782987,-89.654457,"Schools"
"2850","Hazel Dell Elem School","850 W Lake Shore Dr","Springfield","IL","62712-9588",39.742506,-89.616118,"Schools"
"2851","Laketown Elem School","1825 Lee St","Springfield","IL","62703-4837",39.753204,-89.627286,"Schools"
"2852","McClernand Elem School","801 N 6th St","Springfield","IL","62702-6303",39.809818,-89.647664,"Schools"
"2853","Southern View Elem School","3338 S 5th St","Springfield","IL","62703-4730",39.754962,-89.649452,"Schools"
"2854","Wilcox Elem School","2000 Hastings Rd","Springfield","IL","62702-2031",39.828635,-89.615189,"Schools"
"2855","Black Hawk Elem School","2500 S College St","Springfield","IL","62704-4706",39.773006,-89.656759,"Schools"
"2856","Matheny-Withrow Elem Sch","1200 S Pope Ave","Springfield","IL","62703-2731",39.789594,-89.621927,"Schools"
"2857","Elizabeth Graham Elem School","900 W Edwards St","Springfield","IL","62704-1839",39.796262,-89.666511,"Schools"
"2858","Edwin A Lee Elementary School","1201 Bunn Ave","Springfield","IL","62703-5362",39.738172,-89.642635,"Schools"
"2859","Enos Elem School","524 W Elliott Ave","Springfield","IL","62702-3715",39.813892,-89.670605,"Schools"
"2860","Fairview Elem School","2200 E Ridgely Ave","Springfield","IL","62702-3045",39.823474,-89.641905,"Schools"
"2861","Jane Addams Elem School","10 Babiak Ln","Springfield","IL","62702-3517",39.813163,-89.685222,"Schools"
"2862","Early Learning Center","2501 S 1st St","Springfield","IL","62704-4722",39.772606,-89.654367,"Schools"
"2863","Ridgely Elem School","2040 N 8th St","Springfield","IL","62702-1718",39.827874,-89.644476,"Schools"
"2864","Feitshans Elem Sch","1101 S 15th St","Springfield","IL","62703-2636",39.790299,-89.635283,"Schools"
"2865","Harvard Park Elem School","2501 S 11th St","Springfield","IL","62703-3903",39.771137,-89.640743,"Schools"
"2866","Dubois Elem School","120 S Lincoln Ave","Springfield","IL","62704-1601",39.801299,-89.672834,"Schools"
"2867","U S Grant Middle School","1800 W Monroe St","Springfield","IL","62704-1529",39.799823,-89.683098,"Schools"
"2868","Washington Middle School","2300 E Jackson St","Springfield","IL","62703-1545",39.796833,-89.634572,"Schools"
"2869","Jefferson Middle School","3001 S Allis St","Springfield","IL","62703-4208",39.761565,-89.633032,"Schools"
"2870","Lanphier High School","1300 N 11th St","Springfield","IL","62702-4011",39.816194,-89.64043,"Schools"
"2871","Havana Jr High School","801 E Laurel Ave","Havana","IL","62644-1567",40.29682,-90.050297,"Schools"
"2872","New Central Elem School","215 N Pearl St","Havana","IL","62644-1229",40.3014,-90.059197,"Schools"
"2873","Illini Central High School","208 N West Ave","Mason City","IL","62664-1066",40.203581,-89.706931,"Schools"
"2874","Illini Central Middle School","208 N West Ave","Mason City","IL","62664-1066",40.203581,-89.706931,"Schools"
"2875","Illini Central Grade School","208 N West Ave","Mason City","IL","62664-1066",40.203581,-89.706931,"Schools"
"2876","Midwest Central High School","910 S Washington St","Manito","IL","61546-8901",40.415393,-89.78249,"Schools"
"2877","Midwest Central Middle School","121 N Church St","Green Valley","IL","61534-8109",40.409137,-89.644238,"Schools"
"2878","Midwest Central Primary School","450 E Southmoor St","Manito","IL","61546-9106",40.416439,-89.778096,"Schools"
"2879","J L Hensey Elem School","304 E Almond Dr","Washington","IL","61571-3104",40.688174,-89.487644,"Schools"
"2880","Beverly Manor Elementary School","1014 School St","Washington","IL","61571-9501",40.691671,-89.476084,"Schools"
"2881","Parkview Jr High School","800 Groveland St","Creve Coeur","IL","61610-4255",40.639643,-89.580301,"Schools"
"2882","LaSalle Elem School","300 N Highland St","Creve Coeur","IL","61610-3135",40.650352,-89.598064,"Schools"
"2883","Glendale Elem School","1000 Bloomington Rd","East Peoria","IL","61611-2831",40.660791,-89.551521,"Schools"
"2884","Central Jr High School","601 Taylor St","East Peoria","IL","61611-2685",40.664788,-89.570761,"Schools"
"2885","Woodrow Wilson Elem School","300 Oakwood Ave","East Peoria","IL","61611-3643",40.664281,-89.525696,"Schools"
"2886","Lincoln Elem School","801 Springfield Rd","East Peoria","IL","61611-3366",40.656558,-89.569706,"Schools"
"2887","Rogers Elementary School","109 Rogers Rd","North Pekin","IL","61554-1047",40.615107,-89.606762,"Schools"
"2888","Marquette Elem School","100 Joliet Rd","Marquette Heights","IL","61554-1300",40.619164,-89.603247,"Schools"
"2889","Edison Junior High School","1400 Earl St","Pekin","IL","61554-2221",40.579201,-89.632955,"Schools"
"2890","L E Starke Elem School","1610 Holiday Dr","Pekin","IL","61554-1923",40.583719,-89.620234,"Schools"
"2891","Washington Intermediate School","501 Washington St","Pekin","IL","61554-4287",40.565694,-89.645359,"Schools"
"2892","Scott Altman Primary School","1730 Highwood Ave","Pekin","IL","61554-6157",40.54685,-89.608271,"Schools"
"2893","Broadmoor Junior High School","501 Maywood Ave","Pekin","IL","61554-3094",40.572384,-89.611771,"Schools"
"2894","Wilson Intermediate School","900 Koch St","Pekin","IL","61554-5892",40.552812,-89.641255,"Schools"
"2895","Dirksen Elementary School","501 Maywood Ave","Pekin","IL","61554-3094",40.572384,-89.611771,"Schools"
"2896","Willow Elem School","1110 Veerman St","Pekin","IL","61554-2442",40.576012,-89.62003,"Schools"
"2897","Pekin Preschool Family Ed Center","1000 Koch St","Pekin","IL","61554-5885",40.552812,-89.641177,"Schools"
"2898","C B Smith Elem School","1314 Matilda St","Pekin","IL","61554-2227",40.580321,-89.633148,"Schools"
"2899","Jefferson Elem School","900 S Capitol St","Pekin","IL","61554-4437",40.561452,-89.65008,"Schools"
"2900","South Pekin Elem School","PO Box 430","South Pekin","IL","61564-0430",40.49448,-89.65177,"Schools"
"2901","Schramm Education Center","300 Cedar St","Pekin","IL","61554-7009",40.574007,-89.606922,"Schools"
"2902","Riverview Elem School","1421 Spring Bay Rd","East Peoria","IL","61611-9762",40.79417,-89.522187,"Schools"
"2903","Fieldcrest Middle School","102 W Elm St","Wenona","IL","61377-7539",41.057261,-89.050426,"Schools"
"2904","Fieldcrest Primary School","523 Johnson St","Minonk","IL","61760-1246",40.902209,-89.03807,"Schools"
"2905","ROE 53 Safe School","102 Fandel Ln","Metamora","IL","",40.768582,-89.466953,"Schools"
"2906","WCSEA Black Partridge Pub Day Prog","110 Fandel Rd","Germantown Hills","IL","61548-9354",40.767217,-89.466367,"Schools"
"2907","Middlefork School RSSP","15009 Catlin Tilton Rd","Danville","IL","61834-5176",40.100718,-87.66033,"Schools"
"2908","Westville High School","918 N State St","Westville","IL","61883-1218",40.050654,-87.638941,"Schools"
"2909","Westville Jr High School","412 Moses Ave","Westville","IL","61883-1349",40.04695,-87.634215,"Schools"
"2910","Judith Giacoma Elem School","200 S Walnut","Westville","IL","61883-1680",40.040529,-87.63514,"Schools"
"2911","Georgetown-Ridge Farm High School","500 W Mulberry St","Georgetown","IL","61846-1897",39.973459,-87.638639,"Schools"
"2912","Mary Miller Junior High School","414 W West St","Georgetown","IL","61846-1846",39.975218,-87.638733,"Schools"
"2913","Pine Crest Elementary School","505 S Kennedy Dr","Georgetown","IL","61846-2005",39.97121,-87.627068,"Schools"
"2914","Rossville-Alvin Elem School","350 N Chicago St","Rossville","IL","60963-9700",40.381638,-87.670208,"Schools"
"2915","John Greer Elem School","609 W Main St","Hoopeston","IL","60942-1179",40.467031,-87.680414,"Schools"
"2916","Hoopeston Area High School","615 E Orange St","Hoopeston","IL","60942-1855",40.459,-87.663029,"Schools"
"2917","Hoopeston Area Middle School","615 E Orange St","Hoopeston","IL","60942-1855",40.459,-87.663029,"Schools"
"2918","Maple Elem School","500 S 4th St","Hoopeston","IL","60942-1600",40.462479,-87.665219,"Schools"
"2919","Northeast Elem Magnet School","1330 E English St","Danville","IL","61832-3408",40.143118,-87.600138,"Schools"
"2920","Danville High School","202 E Fairchild St","Danville","IL","61832-3114",40.138529,-87.627403,"Schools"
"2921","Kenneth D Bailey Academy","502 E Main St","Danville","IL","61832-6306",40.124329,-87.62281,"Schools"
"2922","Edison Elem School","2101 N Vermilion St","Danville","IL","61832-1731",40.159779,-87.630429,"Schools"
"2923","Garfield Elem School","1101 N Gilbert St","Danville","IL","61832-2949",40.141919,-87.635519,"Schools"
"2924","Liberty Elem School","20 E Liberty Ln","Danville","IL","61832-1441",40.17487,-87.627819,"Schools"
"2925","Meade Park Elem School","200 S Kansas Ave","Danville","IL","61834-9345",40.12937,-87.578469,"Schools"
"2926","Southwest  Elem School","14794 Catlin Tilton Rd","Danville","IL","61834-5116",40.098859,-87.662679,"Schools"
"2927","South View Upper Elem School","133 E 9th St","Danville","IL","61832-7220",40.108405,-87.633327,"Schools"
"2928","Mark Denman Elementary School","930 Colfax Dr","Danville","IL","61832-3325",40.139464,-87.605142,"Schools"
"2929","North Ridge Middle School","1619 N Jackson St","Danville","IL","61832-1879",40.154518,-87.627992,"Schools"
"2930","Salt Fork South Elementary School","7087 N 600 East Rd","Sidell","IL","61876-6515",39.969819,-87.821385,"Schools"
"2931","St Mary Nativity","702 N Broadway St","Joliet","IL","60435-6319",41.536238,-88.08537,"Schools"
"2932","SOWIC-Comm & Adaptive Bhvr Pioneer","24920 S Sage St","Channahon","IL","60410-8617",41.429427,-88.227136,"Schools"
"2933","SOWIC-Educ & Life Skills-Reed Custer ELEM","162 S School St","Braidwood","IL","60408-1948",41.262163,-88.222283,"Schools"
"2934","SOWIC-Educ & Life Skills-Reed Custer MS","407 S Comet Dr","Braidwood","IL","60408-2216",41.256605,-88.206605,"Schools"
"2935","SOWIC Education Center","209 Wildcat Ct","Wilmington","IL","60481-4500",41.303199,-88.131935,"Schools"
"2936","SOWIC-Comm & Adaptive Bhvr Three Rivers","24150 S Sage Rd","Channahon","IL","",41.43313,-88.199325,"Schools"
"2937","Joseph E Fisher School","1207 N Larkin Ave","Joliet","IL","60435-3436",41.545869,-88.126105,"Schools"
"2938","River Valley Juvenile Detention","3200 West McDonough St","Joliet","IL","60431-1088",41.513487,-88.158417,"Schools"
"2939","Laraway School","1715 Rowell Ave","Joliet","IL","60433-8551",41.49304,-88.062523,"Schools"
"2940","Union Elementary School","1661 Cherry Hill Rd","Joliet","IL","60433-8508",41.497283,-88.023954,"Schools"
"2941","Rockdale Elem School","715 Meadow Ave","Rockdale","IL","60436-2405",41.50732,-88.116823,"Schools"
"2942","Eisenhower Academy","406 Burke Dr","Joliet","IL","60433-2114",41.517059,-88.035205,"Schools"
"2943","Forest Park Individual Ed School","1220 California Ave","Joliet","IL","60432-1102",41.547975,-88.055569,"Schools"
"2944","Hufford Junior High School","1125 N Larkin Ave","Joliet","IL","60435-3434",41.543317,-88.126216,"Schools"
"2945","Taft Elementary School","1125 Oregon St","Joliet","IL","60435-3900",41.544019,-88.116832,"Schools"
"2946","T E Culbertson Elem School","1521 E Washington St","Joliet","IL","60433-1364",41.522845,-88.04375,"Schools"
"2947","Edna Keith Elem School","400 4th Ave","Joliet","IL","60433-1906",41.516605,-88.070604,"Schools"
"2948","Carl Sandburg Elementary","1100 Lilac Ln","Joliet","IL","60435-3244",41.542435,-88.135619,"Schools"
"2949","Woodland Elem School","701 3rd Ave","Joliet","IL","60433-2017",41.51928,-88.063143,"Schools"
"2950","A O Marshall Elem School","319 Harwood St","Joliet","IL","60432-2716",41.5313,-88.044839,"Schools"
"2951","Thomas Jefferson Elem School","2651 Glenwood Ave","Joliet","IL","60435-5239",41.530136,-88.147132,"Schools"
"2952","Isaac Singleton Elem Sch","1451 Copperfield Ave","Joliet","IL","60432-2029",41.53789,-88.047654,"Schools"
"2953","Pershing Elem School","251 N Midland Ave","Joliet","IL","60435-6837",41.526933,-88.116838,"Schools"
"2954","M J Cunningham Elem Sch","500 Moran St","Joliet","IL","60435-4532",41.54137,-88.094781,"Schools"
"2955","Farragut Elem School","701 Glenwood Ave","Joliet","IL","60435-6911",41.530909,-88.098927,"Schools"
"2956","Lynne Thigpen Elem School","207 S Midland Ave","Joliet","IL","60436-1305",41.517965,-88.11782,"Schools"
"2957","Sator Sanchez Elem School","1101 Harrison Ave","Joliet","IL","60432-1234",41.543674,-88.068276,"Schools"
"2958","Dirksen Junior High School","203 S Midland Ave","Joliet","IL","60436-1305",41.518687,-88.116245,"Schools"
"2959","Washington Jr High & Academy Prgm","402 Richards St","Joliet","IL","60433-2218",41.516435,-88.073406,"Schools"
"2960","Gompers Junior High School","1501 Copperfield Ave","Joliet","IL","60432-2007",41.538246,-88.044238,"Schools"
"2961","Chaney-Monge School","400 Elsie Ave","Crest Hill","IL","60403-2573",41.560176,-88.093372,"Schools"
"2962","Fairmont School","735 Green Garden Pl","Lockport","IL","60441-4935",41.564552,-88.06323,"Schools"
"2963","Crete-Monee Early Childhood Cntr","1500 S Sangamon St","Crete","IL","60417-2831",41.439499,-87.642589,"Schools"
"2964","Coretta Scott King Magnet Sch","1009 Blackhawk Dr","University Park","IL","60484-3248",41.434558,-87.678363,"Schools"
"2965","Monee Elementary School","25425 S Will Center Rd","Monee","IL","60449-9814",41.428907,-87.72739,"Schools"
"2966","Crete-Monee High School","1515 W Exchange St","Crete","IL","60417-9601",41.44201,-87.649408,"Schools"
"2967","Crete-Monee Middle School","635 Olmstead Ln","University Park","IL","60484-3311",41.427385,-87.678663,"Schools"
"2968","Monee Education Center","5154 W Main St","Monee","IL","60449-9281",41.419236,-87.737726,"Schools"
"2969","Crete Elementary School","435 North St","Crete","IL","60417-2258",41.445895,-87.628751,"Schools"
"2970","Balmoral Elem Sch","1124 W New Monee Rd","Crete","IL","60417-4072",41.421076,-87.640151,"Schools"
"2971","Talala Elementary School","430 Talala St","Park Forest","IL","60466-2410",41.468122,-87.697228,"Schools"
"2972","Lakewood Falls Elem School","14050 S Budler Rd","Plainfield","IL","60544-9147",41.628897,-88.156577,"Schools"
"2973","Joliet West High School","401 N Larkin Ave","Joliet","IL","60435-6606",41.52908,-88.126786,"Schools"
"2974","Joliet Central High School","201 E Jefferson St","Joliet","IL","60432-2841",41.52603,-88.0733,"Schools"
"2975","Pathways Academy","110 Collins St","Joliet","IL","60432-2942",41.52571,-88.072306,"Schools"
"2976","Kenneth L Hermansen Elementary","101 Wesglen Pkwy","Romeoville","IL","60446-5269",41.620027,-88.134951,"Schools"
"2977","Jane Addams Middle School","905 Lily Cache Ln","Bolingbrook","IL","60440-3100",41.688051,-88.107233,"Schools"
"2978","Robert C Hill Elem School","616 Dalhart Ave","Romeoville","IL","60446-1332",41.652043,-88.085286,"Schools"
"2979","Romeoville High School","100 N Independence Blvd","Romeoville","IL","60446-1801",41.62791,-88.081739,"Schools"
"2980","Bolingbrook High School","365 Raider Way","Bolingbrook","IL","60440-4893",41.689426,-88.088668,"Schools"
"2981","Jonas E Salk Elem School","500 King Arthur Way","Bolingbrook","IL","60440-2278",41.711443,-88.047057,"Schools"
"2982","Valley View Early Childhood Cntr","753 Dalhart Ave","Romeoville","IL","60446-1156",41.659024,-88.084875,"Schools"
"2983","A Vito Martinez Middle School","590 Belmont Dr","Romeoville","IL","60446-1400",41.640478,-88.100696,"Schools"
"2984","John J Lukancic Middle Sch","725 W Normantown Rd","Romeoville","IL","60446-3921",41.653493,-88.097196,"Schools"
"2985","Brooks Middle School","350 Blair Ln","Bolingbrook","IL","60440-1801",41.702392,-88.081176,"Schools"
"2986","Skoff Elementary","775 W Normantown Rd","Romeoville","IL","60446-3921",41.653461,-88.099666,"Schools"
"2987","Wood View Elem School","197 Winston Dr","Bolingbrook","IL","60440-1300",41.717871,-88.0622,"Schools"
"2988","Irene King Elem School","301 Eaton Ave","Romeoville","IL","60446-1701",41.636281,-88.089065,"Schools"
"2989","Hubert H Humphrey Middle School","777 Falcon Ridge Way","Bolingbrook","IL","60440-2200",41.711972,-88.043316,"Schools"
"2990","Oak View Elem School","150 N Schmidt Rd","Bolingbrook","IL","60440-2689",41.699986,-88.087052,"Schools"
"2991","Independence Elem School","230 S Orchard Dr","Bolingbrook","IL","60440-2600",41.692192,-88.097524,"Schools"
"2992","John R Tibbott Elem School","520 Gary Dr","Bolingbrook","IL","60440-2400",41.703461,-88.046472,"Schools"
"2993","Bernard J Ward Elem School","200 Recreation Dr","Bolingbrook","IL","60440-3071",41.694298,-88.057038,"Schools"
"2994","Il Youth Center - Pere Marquette","17808 State Highway 100 W","Grafton","IL","62037-2317",38.973636,-90.462756,"Schools"
"2995","Illinois Youth Center-Warrenville","30W200 Ferry Rd","Naperville","IL","60563-9683",41.811809,-88.212359,"Schools"
"2996","IYC Chicago","136 N Western Ave","Chicago","IL","60612-2222",41.883611,-87.686649,"Schools"
"2997","School District 428 IYC-HRB","1201 W Poplar St","Harrisburg","IL","62946-3711",37.738749,-88.560516,"Schools"
"2998","Illinois Youth Ctr - St Charles","3825 Campton Hills Dr","Saint Charles","IL","60175-6062",41.909171,-88.372332,"Schools"
"2999","Madison County Government","100 5th Ave","Edwardsville","IL","62025-2575",38.792349,-89.951487,"Schools"
"3000","Neon House","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3001","Neon South","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3002","International Children's Ctr At Beverly","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3003","Manuel Saura Center","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3004","International Childrens Center","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3005","International Childrens Crisis Center","4822 N Broadway St","Chicago","IL","60640-3604",41.969745,-87.660148,"Schools"
"3006","Horizon Science Acad-McKinley Park Charter Sch","2245 W Pershing Rd","Chicago","IL","60609-2211",41.822546,-87.682137,"Schools"
"3007","Horizon Science Acad-Belmont Charter Sch","2456 N Mango Ave","Chicago","IL","60639-2313",41.925532,-87.770012,"Schools"
"3008","Catalyst Charter-Circle Rock ES","5608 W Washington Blvd","Chicago","IL","60644-3009",41.882568,-87.765454,"Schools"
"3009","Catalyst Charter - Maria ES","6727 S California Ave","Chicago","IL","60629-1816",41.770725,-87.691963,"Schools"
"3010","Moving Everest Charter School","416 N Laramie Ave","Chicago","IL","60644-1906",41.888389,-87.755762,"Schools"
"3011","Easterseals Acad - Machesney Park","8301 Mitchell Rd","Machesney Park","IL","61115-7658",42.381244,-88.990556,"Schools"
"3012","Easter Seals Therapeutic-South","17300 Ozark Ave","Tinley Park","IL","60477-2693",41.57753,-87.806978,"Schools"
"3013","Easter Seal Society Metro Chgo","1939 W 13th St Ste 300","Chicago","IL","60608-1237",41.86469,-87.675323,"Schools"
"3014","Academy for Autism","404 NE Madison Ave","Peoria","IL","61603-3720",40.695991,-89.587859,"Schools"
"3015","Kiefer School - Madison","404 NE Madison Ave","Peoria","IL","61603-3720",40.695991,-89.587859,"Schools"
"3016","Endeavor Group Home","7225 W Plank Rd","Peoria","IL","61604-5252",40.692787,-89.707596,"Schools"
"3017","The Childrens Home","7225 W Plank Rd","Peoria","IL","61604-5252",40.692787,-89.707596,"Schools"
"3018","Il Sch for the Visually Impaired","658 E State St","Jacksonville","IL","62650-2130",39.734479,-90.217319,"Schools"
"3019","Illinois School for the Deaf","125 S Webster Ave","Jacksonville","IL","62650-1877",39.733503,-90.251928,"Schools"
"3020","IL Center for Rehab & Educ-R","1950 W Roosevelt Rd","Chicago","IL","60608-1245",41.867157,-87.674957,"Schools"
"3021","Coordinated Youth & Human Service","2016 Madison Ave","Granite City","IL","62040-4657",38.699725,-90.146226,"Schools"
"3022","Asian Human Services -Passage Chrtr","1643 W Bryn Mawr Ave","Chicago","IL","60660-4106",41.983255,-87.671177,"Schools"
"3023","Robein","200 Campus Ave","East Peoria","IL","61611",40.6878,-89.5084,"Head Start Centers"
"3024","Family Center Head Start","233 Leadley Ave","East Peoria","IL","61611",40.6698,-89.5609,"Head Start Centers"
"3025","Early Head Start Home-Based","616 Abington St","Peoria","IL","61603",40.7095,-89.5709,"Head Start Centers"
"3026","Creve Coeur Head Start","300 N Highland St","Creve Coeur","IL","61610",40.6492,-89.5975,"Head Start Centers"
"3027","Woodruff Career & Technical Center Head Start","1800 NE Perry Ave","Peoria","IL","61603",40.7085,-89.5727,"Head Start Centers"
"3028","Webster Head Start","923 W Millman St","Peoria","IL","61605",40.6838,-89.6093,"Head Start Centers"
"3029","Rogy's Learning Place","1010 W Johnson St","Peoria","IL","61605",40.6862,-89.6103,"Head Start Centers"
"3030","Eureka Head Start","1195 County Road 1600 E","Eureka","IL","61530",40.7631,-89.235,"Head Start Centers"
"3031","Harrison Community Learning Center","2727 W Krause Ave","Peoria","IL","61605",40.6669,-89.6363,"Head Start Centers"
"3032","Manual Academy Head Start","811 S Griswold St","Peoria","IL","61605",40.6796,-89.6347,"Head Start Centers"
"3033","Trewyn Head Start","2219 S Idaho St","Peoria","IL","61605",40.6631,-89.64,"Head Start Centers"
"3034","BDGP Early Learning Center","4314 N Sheridan Rd","Peoria","IL","61614",40.7403,-89.6024,"Head Start Centers"
"3035","Pierson Hills Early Head Start","1826 N Lehman Rd","Peoria","IL","61604",40.7096,-89.6381,"Head Start Centers"
"3036","Pekin Head Start","1000 Koch St","Pekin","IL","61554",40.5524,-89.6383,"Head Start Centers"
"3037","Green Valley Head Start","121 N Church St","Green Valley","IL","61534",40.4099,-89.6432,"Head Start Centers"
"3038","Stillwell West","1407 W Washington St","Bloomington","IL","61701",40.4794,-89.0145,"Head Start Centers"
"3039","Stillwell East","206 Stillwell St","Bloomington","IL","61701",40.4802,-89.0136,"Head Start Centers"
"3040","Trinity Lutheran Church","801 S Madison St","Bloomington","IL","61701",40.4722,-88.9952,"Head Start Centers"
"3041","Tazewell/Woodford EHS","403 S State St","Bloomington","IL","61701",40.4758,-88.9754,"Head Start Centers"
"3042","Mason 2","450 E Southmoor St","Manito","IL","61546",40.4154,-89.775,"Head Start Centers"
"3043","YWCA","1201 N Hershey Rd","Bloomington","IL","61704",40.4906,-88.9425,"Head Start Centers"
"3044","LACON","319 5th St","Lacon","IL","61540",41.0247,-89.4103,"Head Start Centers"
"3045","Princeville MHS","909 N Town Ave","Princeville","IL","61559",40.9391,-89.7554,"Head Start Centers"
"3046","Logan 1 & 3","2018 N Kickapoo St","Lincoln","IL","62656",40.1624,-89.3444,"Head Start Centers"
"3047","Logan 2","200 Centennial Ct","Lincoln","IL","62656",40.1472,-89.3544,"Head Start Centers"
"3048","Logan County EHS","721 Wyatt Ave","Lincoln","IL","62656",40.1391,-89.3598,"Head Start Centers"
"3049","Fulton Head Start","1055 W Locust St","Canton","IL","61520",40.5601,-90.0591,"Head Start Centers"
"3050","WYOMING EXTENDED DAY","110 N 7th St","Wyoming","IL","61491",41.062,-89.7731,"Head Start Centers"
"3051","DeWitt","45 Cedar Sq","Clinton","IL","61727",40.1461,-88.9619,"Head Start Centers"
"3052","Mason 1","301 S Dale Dr","Havana","IL","62644",40.2986,-90.0439,"Head Start Centers"
"3053","Lewistown","15501 E Avenue L","Lewistown","IL","61542",40.3852,-90.1516,"Head Start Centers"
"3054","STREATOR","701 S Sterling St","Streator","IL","61364",41.1122,-88.83,"Head Start Centers"
"3055","Pontiac","1303 E Indiana Ave","Pontiac","IL","61764",40.8885,-88.6136,"Head Start Centers"
"3056","SPRING VALLEY EXTENDED DAY","227 E Erie St","Spring Valley","IL","61362",41.3257,-89.1977,"Head Start Centers"
"3057","Menard","511 S 6th St","Petersburg","IL","62675",40.0071,-89.8485,"Head Start Centers"
"3058","Knoxville Head Start","51 E Ann St","Knoxville","IL","61448",40.9108,-90.2846,"Head Start Centers"
"3059","Kewanee 1201","109 S Elm St","Kewanee","IL","61443",41.2428,-89.9223,"Head Start Centers"
"3060","LASALLE","3691 Cougar Dr","Peru","IL","61354",41.3606,-89.161,"Head Start Centers"
